Date,Close,High,Low,Open,Volume,Asset
2022-05-28,28814.900390625,28814.900390625,28554.56640625,28622.625,35519577634,BTC-USD
2022-05-29,29445.95703125,29498.009765625,28841.107421875,29019.8671875,18093886409,BTC-USD
2022-05-30,31726.390625,31949.630859375,29303.572265625,29443.365234375,39277993274,BTC-USD
2022-05-31,31792.310546875,32249.86328125,31286.154296875,31723.865234375,33538210634,BTC-USD
2022-06-01,29799.080078125,31957.28515625,29501.587890625,31792.5546875,41135817341,BTC-USD
2022-06-02,30467.48828125,30604.734375,29652.705078125,29794.890625,29083562061,BTC-USD
2022-06-03,29704.390625,30633.03515625,29375.689453125,30467.806640625,26175547452,BTC-USD
2022-06-04,29832.9140625,29930.564453125,29500.005859375,29706.138671875,16588370958,BTC-USD
2022-06-05,29906.662109375,30117.744140625,29574.44921875,29835.1171875,17264085441,BTC-USD
2022-06-06,31370.671875,31693.291015625,29894.1875,29910.283203125,31947336829,BTC-USD
2022-06-07,31155.478515625,31489.68359375,29311.68359375,31371.7421875,40770974039,BTC-USD
2022-06-08,30214.35546875,31253.69140625,29944.404296875,31151.48046875,30242059107,BTC-USD
2022-06-09,30111.998046875,30609.310546875,30020.265625,30215.279296875,21692004719,BTC-USD
2022-06-10,29083.8046875,30245.80859375,28978.146484375,30110.330078125,29867476527,BTC-USD
2022-06-11,28360.810546875,29401.916015625,28236.212890625,29084.666015625,27246574439,BTC-USD
2022-06-12,26762.6484375,28502.685546875,26762.6484375,28373.513671875,34163220274,BTC-USD
2022-06-13,22487.388671875,26795.58984375,22141.2578125,26737.578125,68204556440,BTC-USD
2022-06-14,22206.79296875,23018.951171875,20950.818359375,22487.986328125,50913575242,BTC-USD
2022-06-15,22572.83984375,22642.671875,20178.376953125,22196.73046875,54912007015,BTC-USD
2022-06-16,20381.650390625,22868.921875,20265.2265625,22576.3046875,31183975654,BTC-USD
2022-06-17,20471.482421875,21243.3125,20326.51953125,20385.71875,27132421514,BTC-USD
2022-06-18,19017.642578125,20736.041015625,17708.623046875,20473.42578125,42009436760,BTC-USD
2022-06-19,20553.271484375,20683.822265625,18067.15234375,19010.90234375,35329942625,BTC-USD
2022-06-20,20599.537109375,20913.322265625,19689.169921875,20553.37109375,30818458597,BTC-USD
2022-06-21,20710.59765625,21620.62890625,20415.0625,20594.294921875,28970212744,BTC-USD
2022-06-22,19987.029296875,20835.75,19848.078125,20719.4140625,28574793478,BTC-USD
2022-06-23,21085.876953125,21135.76171875,19950.1171875,19986.607421875,26188097173,BTC-USD
2022-06-24,21231.65625,21472.91796875,20777.51171875,21084.6484375,24957784918,BTC-USD
2022-06-25,21502.337890625,21520.9140625,20964.5859375,21233.609375,18372538715,BTC-USD
2022-06-26,21027.294921875,21783.724609375,21016.26953125,21496.494140625,18027170497,BTC-USD
2022-06-27,20735.478515625,21478.08984375,20620.19921875,21028.23828125,20965695707,BTC-USD
2022-06-28,20280.634765625,21164.423828125,20228.8125,20731.544921875,21381535161,BTC-USD
2022-06-29,20104.0234375,20364.15625,19937.791015625,20281.169921875,23552740328,BTC-USD
2022-06-30,19784.7265625,20141.16015625,18729.65625,20108.3125,26267239923,BTC-USD
2022-07-01,19269.3671875,20632.671875,19073.708984375,19820.470703125,30767551159,BTC-USD
2022-07-02,19242.255859375,19371.748046875,19027.08203125,19274.8359375,18100418740,BTC-USD
2022-07-03,19297.076171875,19558.26953125,18966.951171875,19242.095703125,16390821947,BTC-USD
2022-07-04,20231.26171875,20258.748046875,19063.06640625,19297.314453125,21594638208,BTC-USD
2022-07-05,20190.115234375,20635.466796875,19341.232421875,20225.353515625,26715546990,BTC-USD
